wanted,position,positionid,from,start,end
Q8357143,Minister of Veterans Affairs,Q114895418,Q19825815,2018-02-26,2019-07-23
Q1911971,Minister of Education,Q114894853,Q23954823,2016-05-20,2018-04-14
Q6515593,Minister of Environmental Protection,Q20789094,Q15831062,2014-03-03,2016-05-20
Q558251,Vice Premier,Q13644819,Q5386280,2009-09-10,2010-05-17
Q517151,Minister of Mainland Affairs,Q114895384,Q13408438,2007-04-10,2008-05-20
Q9182857,Minister of Public Construction,Q114895726,Q29952844,2006-01-15,2008-05-20
Q8274112,Minister of Hakka Affairs,Q114894998,Q9206928,2005-03-15,2008-05-19
Q8357095,Member of the Legislative Yuan,Q6310593,Q8349853,2005-02-01,2006-11-13
Q8357157,Member of the Legislative Yuan,Q6310593,Q8351349,2002-02-01,2002-04-01
Q465284,Vice President,Q707830,Q558718,1996-05-20,2000-05-20
