item,itemLabel,startDate,endDate,sourceDate,psid
Q716768,Tang Fei,1999-02-01,2000-05-19,2022-08-16,Q716768-F776C189-848D-4BF9-9B59-B4BB9B71E014
Q8276889,Wu Shih-wen,2000-05-20,2002-01-31,2022-08-16,Q8276889-BC20AF69-C25F-41E9-BF99-8AACFC75F871
Q9308254,Tang Yao-ming,2002-02-01,2004-05-19,2022-08-16,Q9308254-A43DC2A4-DD79-4320-899E-F5E6D107D140
Q699188,Lee Jye,2004-05-20,2007-05-19,2022-08-16,Q699188-10EA1AC3-0344-4176-A085-63C9D6BEAB8B
Q6138091,Lee Tien-yu,2007-05-20,2008-02-24,2022-08-16,Q6138091-384A3FA6-0726-491D-B1E2-F203FD62ABAD
Q8350293,Michael Tsai,2008-02-25,2008-05-19,,Q8350293-d3b8dc19-4fe8-ca01-e2a8-87570d02535d
Q8273076,Chen Chao-min,2008-05-20,2009-09-09,2022-08-16,Q8273076-D39C63EA-B164-4102-8A36-5AE8ACCBD4A4
Q8273357,Kao Hua-chu,2009-09-10,2013-07-31,2022-08-16,Q8273357-E87A5B4A-9280-43F2-950C-E10EB3AE4861
Q11118258,Andrew Yang,2013-08-01,2013-08-07,,Q11118258-5d471ea3-4afb-9a7d-1f38-5731aa740a01
Q9123228,Yen Ming,2013-08-08,2015-01-30,,Q9123228-221c9373-4590-986f-f5a3-b3d222b03194
Q14516312,Kao Kuang-chi,2015-01-31,2016-05-19,2022-08-16,Q14516312-34E1CBDF-6C7D-480E-82A7-4E59A76B23BC
Q23894469,Feng Shih-kuan,2016-05-20,2018-02-25,,Q23894469-a694290d-44e2-a33b-99ed-108fb0665ea2
Q15914789,Yen Teh-fa,2018-02-26,2021-02-23,,Q15914789-0b8ff875-4faa-acfd-85dc-58de210d12f4
Q19825815,Chiu Kuo-cheng,2021-02-23,,,Q19825815-4b726bd2-482c-edbf-e7b7-7b883ef919c5
