item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q10294207,NormalRank,Q6581097,true,false,,,,
Q10413949,,,,false,,,,
Q104723309,NormalRank,Q6581097,true,false,,,,
Q10513434,NormalRank,Q6581097,true,false,,,,
Q10564184,,,,false,,,,
Q10565446,NormalRank,Q6581097,true,false,,,,
Q10900397,NormalRank,Q6581097,true,false,,,,
Q10918847,NormalRank,Q6581097,true,false,,,,
Q10919115,,,,false,,,,
Q10919955,NormalRank,Q6581097,true,true,false,false,false,true
Q10919979,NormalRank,Q6581072,true,false,,,,
Q10920153,NormalRank,Q6581072,true,false,,,,
Q11068492,NormalRank,Q6581097,true,false,,,,
Q11070836,NormalRank,Q6581097,true,false,,,,
Q11091487,NormalRank,Q6581097,true,false,,,,
Q11094304,NormalRank,Q6581097,true,false,,,,
Q11096596,,,,false,,,,
Q11098108,NormalRank,Q6581097,true,false,,,,
Q11099334,NormalRank,Q6581097,true,false,,,,
Q11106169,,,,false,,,,
Q11106819,NormalRank,Q6581097,true,true,false,false,false,true
Q11115397,NormalRank,Q6581072,true,false,,,,
Q11118258,NormalRank,Q6581097,true,true,true,true,false,false
Q11176497,NormalRank,Q6581097,true,false,,,,
Q114895959,NormalRank,Q6581072,true,false,,,,
Q115299064,,,,false,,,,
Q115398709,NormalRank,Q6581097,true,false,,,,
Q115467711,,,,false,,,,
Q115467712,,,,false,,,,
Q115490125,NormalRank,Q6581097,true,true,false,true,false,false
Q115685719,,,,false,,,,
Q11963553,NormalRank,Q6581097,true,false,,,,
Q13408438,NormalRank,Q6581097,true,false,,,,
Q13408439,NormalRank,Q6581097,true,false,,,,
Q13631978,NormalRank,Q6581097,true,false,,,,
Q14516312,NormalRank,Q6581097,true,false,,,,
Q14866531,NormalRank,Q6581072,true,false,,,,
Q15205373,NormalRank,Q6581097,true,false,,,,
Q15704593,NormalRank,Q6581072,true,false,,,,
Q15831062,NormalRank,Q6581097,true,false,,,,
Q15895660,NormalRank,Q6581072,true,false,,,,
Q15899237,PreferredRank,Q6581097,true,false,,,,
Q15901599,NormalRank,Q6581097,true,false,,,,
Q15901623,NormalRank,Q6581072,true,false,,,,
Q15903055,NormalRank,Q6581097,true,false,,,,
Q15903800,NormalRank,Q6581097,true,false,,,,
Q15904974,NormalRank,Q6581072,true,false,,,,
Q15905278,NormalRank,Q6581072,true,false,,,,
Q15908898,NormalRank,Q6581097,true,false,,,,
Q15909081,NormalRank,Q6581097,true,false,,,,
Q15911945,NormalRank,Q6581072,true,false,,,,
Q15912229,NormalRank,Q6581097,true,true,true,false,false,false
Q15914057,,,,false,,,,
Q15914789,NormalRank,Q6581097,true,false,,,,
Q15915252,NormalRank,Q6581097,true,false,,,,
Q15918515,NormalRank,Q6581072,true,false,,,,
Q15920021,NormalRank,Q6581097,true,false,,,,
Q15930216,NormalRank,Q6581072,true,false,,,,
Q15931826,NormalRank,Q6581072,true,false,,,,
Q15932070,,,,false,,,,
Q15933742,NormalRank,Q6581097,true,false,,,,
Q15934391,NormalRank,Q6581097,true,false,,,,
Q16122971,NormalRank,Q6581097,true,false,,,,
Q16143196,NormalRank,Q6581097,true,false,,,,
Q16150359,NormalRank,Q6581097,true,false,,,,
Q16187076,NormalRank,Q6581097,true,false,,,,
Q16193101,NormalRank,Q6581097,true,false,,,,
Q16193401,NormalRank,Q6581097,true,false,,,,
Q16196866,NormalRank,Q6581097,true,false,,,,
Q16239464,NormalRank,Q6581097,true,false,,,,
Q16239466,NormalRank,Q6581097,true,false,,,,
Q16239471,NormalRank,Q6581097,true,false,,,,
Q16239478,NormalRank,Q6581072,true,false,,,,
Q16239498,NormalRank,Q6581097,true,false,,,,
Q16239501,NormalRank,Q6581097,true,false,,,,
Q16239639,NormalRank,Q6581097,true,false,,,,
Q16239701,NormalRank,Q6581097,true,false,,,,
Q16239747,NormalRank,Q6581097,true,false,,,,
Q16239751,NormalRank,Q6581072,true,false,,,,
Q16239783,NormalRank,Q6581097,true,false,,,,
Q16239906,NormalRank,Q6581097,true,false,,,,
Q16239908,NormalRank,Q6581097,true,false,,,,
Q16240050,NormalRank,Q6581097,true,false,,,,
Q16241144,NormalRank,Q6581097,true,false,,,,
Q16241509,NormalRank,Q6581097,true,false,,,,
Q16242317,NormalRank,Q6581097,true,false,,,,
Q16260492,NormalRank,Q6581097,true,true,false,false,false,true
Q16260539,NormalRank,Q6581072,true,false,,,,
Q16336308,NormalRank,Q6581097,true,false,,,,
Q16905422,NormalRank,Q6581072,true,false,,,,
Q16905500,,,,false,,,,
Q16907985,NormalRank,Q6581097,true,false,,,,
Q16926490,NormalRank,Q6581097,true,false,,,,
Q16926907,NormalRank,Q6581097,true,false,,,,
Q16928868,NormalRank,Q6581072,true,false,,,,
Q17027222,NormalRank,Q6581097,true,false,,,,
Q17066681,,,,false,,,,
Q17466399,NormalRank,Q6581097,true,false,,,,
Q18109591,NormalRank,Q6581097,true,false,,,,
Q18109691,NormalRank,Q6581097,true,false,,,,
Q18113714,NormalRank,Q6581097,true,false,,,,
Q18415702,NormalRank,Q6581097,true,false,,,,
Q18415739,NormalRank,Q6581097,true,false,,,,
Q18654076,NormalRank,Q6581097,true,false,,,,
Q18658400,NormalRank,Q6581072,true,false,,,,
Q18659220,NormalRank,Q6581072,true,false,,,,
Q18659469,NormalRank,Q6581072,true,false,,,,
Q19058548,NormalRank,Q6581097,true,false,,,,
Q1911971,NormalRank,Q6581097,true,true,true,false,false,false
Q19653988,NormalRank,Q6581072,true,false,,,,
Q19825208,NormalRank,Q6581072,true,false,,,,
Q19825322,NormalRank,Q6581097,true,false,,,,
Q19825639,NormalRank,Q6581097,true,false,,,,
Q19825673,NormalRank,Q6581097,true,false,,,,
Q19825688,NormalRank,Q6581097,true,false,,,,
Q19825781,NormalRank,Q6581072,true,false,,,,
Q19825797,NormalRank,Q6581097,true,false,,,,
Q19825815,NormalRank,Q6581097,true,false,,,,
Q19849340,NormalRank,Q6581097,true,false,,,,
Q19849402,NormalRank,Q6581072,true,false,,,,
Q19849414,NormalRank,Q6581097,true,false,,,,
Q19849473,NormalRank,Q6581097,true,false,,,,
Q20063502,NormalRank,Q6581072,true,false,,,,
Q20687755,NormalRank,Q6581097,true,false,,,,
Q21016998,NormalRank,Q6581097,true,false,,,,
Q21055079,NormalRank,Q6581072,true,false,,,,
Q21449416,,,,false,,,,
Q21652173,NormalRank,Q6581072,true,false,,,,
Q21934105,NormalRank,Q6581097,true,false,,,,
Q22093639,NormalRank,Q6581072,true,false,,,,
Q22099059,NormalRank,Q6581072,true,false,,,,
Q22099954,NormalRank,Q6581072,true,false,,,,
Q22100240,NormalRank,Q6581097,true,false,,,,
Q22100706,NormalRank,Q6581097,true,true,false,false,false,true
Q22773998,NormalRank,Q6581072,true,false,,,,
Q22774094,NormalRank,Q6581097,true,false,,,,
Q22774114,NormalRank,Q6581072,true,false,,,,
Q22774121,NormalRank,Q6581072,true,false,,,,
Q22774129,NormalRank,Q6581072,true,false,,,,
Q22774142,NormalRank,Q6581097,true,false,,,,
Q22774153,NormalRank,Q6581072,true,false,,,,
Q22774355,NormalRank,Q6581097,true,false,,,,
Q233984,NormalRank,Q6581072,true,true,false,false,false,true
Q23883800,NormalRank,Q6581097,true,false,,,,
Q23894469,NormalRank,Q6581097,true,false,,,,
Q23927581,NormalRank,Q6581097,true,false,,,,
Q23954823,NormalRank,Q6581097,true,false,,,,
Q24053403,NormalRank,Q6581097,true,false,,,,
Q24053404,NormalRank,Q6581097,true,false,,,,
Q24053420,NormalRank,Q6581097,true,false,,,,
Q24175183,NormalRank,Q6581097,true,true,true,true,false,false
Q24238270,NormalRank,Q6581097,true,false,,,,
Q24247649,NormalRank,Q6581072,true,false,,,,
Q24263737,NormalRank,Q6581097,true,false,,,,
Q24572278,NormalRank,Q6581097,true,false,,,,
Q24572279,NormalRank,Q6581072,true,false,,,,
Q24834554,NormalRank,Q6581097,true,false,,,,
Q24839448,NormalRank,Q6581097,true,false,,,,
Q24840132,NormalRank,Q6581072,true,false,,,,
Q24851744,NormalRank,Q6581097,true,false,,,,
Q25190242,NormalRank,Q6581097,true,false,,,,
Q252658,NormalRank,Q6581072,true,false,,,,
Q256274,NormalRank,Q6581097,true,false,,,,
Q26265161,NormalRank,Q6581097,true,false,,,,
Q26465348,NormalRank,Q6581097,true,false,,,,
Q27663188,NormalRank,Q6581097,true,false,,,,
Q27678861,NormalRank,Q6581097,true,false,,,,
Q27735496,NormalRank,Q6581097,true,false,,,,
Q27901812,NormalRank,Q6581097,true,false,,,,
